variables,obs,mean,sd,min,max
cobcodcb,"25,089",1.340388,0.6812414,1,3
sex,"25,089",1.532624,0.4989445,1,2
agecb,"25,089",8.470884,4.462522,1,18
mainlanc,"25,089",0.8290884,0.4953197,0,2
edattq1c,"25,089",2.237714,2.095327,0,9
edattqcb,"25,089",3.451632,2.021681,0,7
edattpcb,"25,089",3.160469,2.289913,0,9
oralq4cb,"25,089",0.0701104,0.2903966,0,2
dntprofc,"25,089",4.417275,1.686916,1,9
docq2cb,"25,089",0.2510263,0.53946,0,3
docq4cb,"25,089",0.0652079,0.2803145,0,2
dcclstim,"25,089",2.731994,1.451105,1,9
healinq1,"25,089",1.264259,0.8451533,0,9
tphimem,"25,089",2.984615,2.080147,0,9
hicvrtyp,"25,089",3.168361,1.889346,0,9
al2k7day,"25,089",2.04205,1.997593,0,9
exmodnoc,"25,089",52.5068,46.3547,0,99
exvignoc,"25,089",68.4205,42.87693,0,96
extype,"25,089",2.42708,2.230006,0,8
exlevel,"25,089",2.734266,1.728934,0,8
bdymsq1,"25,089",1.428275,1.072529,0,3
bmweigcb,"25,089",125.6349,239.8678,0,999
bmheighc,"25,089",158.7052,142.0853,0,999
bmbmicat,"25,089",12.19658,25.89633,0,99
smkreglr,"25,089",2.361114,1.632736,0,4
smstatuc,"25,089",2.330145,1.610691,0,4
sf12q2,"25,089",2.045638,1.365031,0,5
ltcond,"25,089",1.200167,0.4001335,1,2
condnoc,"25,089",2.406991,1.839819,0,5
sighq2,"25,089",1.485751,0.4998069,1,2
sms,"25,089",1.709992,1.187331,0,3
incdecpn,"25,089",26.66141,39.32846,0,99
empstabc,"25,089",1.962454,1.508012,0,4
